0	6371000.0	7200.0	-9.819615415975191	-49098.077079875955	-49098.24868862477	0.17160874881349947
1	6378195.090192292	7190.180384584025	-9.819615415975191	-49098.077079875955	-49098.24868862477	0.17160874881349947
2	6385380.371840234	7180.382911299971	-9.797473284054314	-48987.36642027157	-48987.53803555309	0.17161528151695837
3	6392555.867033538	7170.607475308405	-9.775435991566573	-48877.179957832865	-48877.351579638555	0.17162180568712615
4	6399721.597757432	7160.853972477368	-9.753502831036286	-48767.51415518143	-48767.68578350277	0.17162832134256648
5	6406877.585893358	7151.122299376133	-9.731673101235438	-48658.36550617719	-48658.5371410057	0.17163482850175463
6	6414023.8532196805	7141.412353269017	-9.70994610711574	-48549.7305355787	-48549.90217690589	0.17164132718307787
7	6421160.421412369	7131.724032109276	-9.688321159741491	-48441.60579870745	-48441.77744652486	0.17164781740483642
8	6428287.312045691	7122.057234533053	-9.666797576223365	-48333.987881116824	-48334.15953541601	0.17165429918524353
9	6435404.546592884	7112.4118598534	-9.645374679653026	-48226.87339826513	-48227.04505903767	0.17166077254242654
10	6442512.146426838	7102.787808054361	-9.62405179903859	-48120.25899519295	-48120.430662430444	0.1716672374944272
11	6449610.132820758	7093.184979785121	-9.6028282692409	-48014.1413462045	-48014.31301989856	0.17167369405920227
12	6456698.526948827	7083.603276354211	-9.581703430910636	-47908.51715455318	-47908.68883469543	0.17168014225462414
13	6463777.349886866	7074.042599723784	-9.560676630426206	-47803.383152131035	-47803.554838713135	0.17168658209848137
14	6470846.62261298	7064.5028525039515	-9.539747219832453	-47698.73609916226	-47698.90779217587	0.17169301360847938
15	6477906.366008205	7054.983937947171	-9.51891455678011	-47594.572783900556	-47594.74448333736	0.17169943680224062
16	6484956.600857151	7045.485759942705	-9.498178004466066	-47490.89002233033	-47491.06172818202	0.17170585169730565
17	6491997.347848628	7036.008223011131	-9.477536931574328	-47387.684657871636	-47387.85637012995	0.17171225831113313
18	6499028.627576283	7026.551232298913	-9.456990712217804	-47284.95356108902	-47285.125279745684	0.1717186566611009
19	6506050.460539219	7017.114693573033	-9.436538725880744	-47182.69362940372	-47182.865354450485	0.17172504676450603
20	6513062.867142613	7007.6985132156715	-9.41618035736197	-47080.90178680985	-47081.07351823849	0.17173142863856572
21	6520065.86769833	6998.302598218953	-9.395914996718766	-46979.574983593826	-46979.74672139613	0.17173780230041763
22	6527059.4824255295	6988.926856179742	-9.375742039211506	-46878.71019605753	-46878.8819402253	0.17174416776712043
23	6534043.731451266	6979.571195294493	-9.355660885248971	-46778.30442624485	-46778.47617676991	0.1717505250556543
24	6541018.63481109	6970.235524354159	-9.335670940334333	-46678.35470167167	-46678.52645854585	0.1717568741829216
25	6547984.212449637	6960.919752739147	-9.315771615011819	-46578.85807505909	-46579.029838274255	0.17176321516574708
26	6554940.484221214	6951.623790414333	-9.295962324814036	-46479.811624070186	-46479.983393618204	0.17176954802087863
27	6561887.469890384	6942.347547924122	-9.276242490209977	-46381.21245104988	-46381.38422692265	0.1717758727649878
28	6568825.18913254	6933.090936387569	-9.25661153655362	-46283.05768276811	-46283.22946495752	0.17178218941467002
29	6575753.66153448	6923.853867493535	-9.237068894033206	-46185.34447016603	-46185.516258664014	0.1717884979864454
30	6582672.906594975	6914.636253495914	-9.217613997621108	-46088.06998810554	-46088.241782904035	0.17179479849675908
31	6589582.943725327	6905.43800720889	-9.198246287024359	-45991.231435121794	-45991.403236212755	0.17180109096198157
32	6596483.792249933	6896.259042002254	-9.178965206635755	-45894.826033178775	-45894.99784055418	0.1718073753984095
33	6603375.471406832	6887.099271796768	-9.159770205485561	-45798.8510274278	-45799.022841079626	0.171813651822266
34	6610258.000348261	6877.958611059575	-9.140660737193818	-45703.303685969084	-45703.475505889335	0.17181992024970105
35	6617131.39814119	6868.836974799651	-9.121636259923234	-45608.18129961617	-45608.353125796864	0.1718261806967921
36	6623995.683767872	6859.734278563318	-9.102696236332637	-45513.481181663185	-45513.653014096366	0.17183243317954439
37	6630850.8761263685	6850.650438429787	-9.083840133531009	-45419.200667655045	-45419.37250633276	0.17183867771389152
38	6637696.994031087	6841.585371006755	-9.065067423032062	-45325.33711516031	-45325.50896007463	0.17184491431569593
39	6644534.056213303	6832.538993426046	-9.046377580709382	-45231.887903546914	-45232.059754689915	0.17185114300074922
40	6651362.081321686	6823.511223339294	-9.027770086752103	-45138.85043376051	-45139.022291124296	0.1718573637847727
41	6658181.087922812	6814.501978913672	-9.009244425621118	-45046.22212810559	-45046.39399168227	0.17186357668341767
42	6664991.0945016835	6805.511178827666	-8.990800086005823	-44954.00043002912	-44954.17229981083	0.1718697817122663
43	6671792.119462231	6796.538742266885	-8.97243656078139	-44862.182803906944	-44862.35467988583	0.17187597888683143
44	6678584.181127825	6787.584588919918	-8.954153346966512	-44770.76673483256	-44770.938617000786	0.17188216822255753
45	6685367.297741772	6778.648638974237	-8.935949945681715	-44679.74972840858	-44679.921616758314	0.17188834973482078
46	6692141.487467815	6769.730813112129	-8.917825862108126	-44589.12931054063	-44589.30120506407	0.1718945234389298
47	6698906.768390625	6760.831032506682	-8.899780605446727	-44498.90302723364	-44499.074927922986	0.1719006893501258
48	6705663.158516287	6751.949218817804	-8.881813688878145	-44409.06844439072	-44409.24035123821	0.17190684748358318
49	6712410.67577279	6743.085294188281	-8.863924629522861	-44319.62314761431	-44319.79506061216	0.17191299785440986
50	6719149.338010504	6734.239181239879	-8.846112948401927	-44230.564742009636	-44230.73666115011	0.1719191404776477
